GROUPS,FILE NAMES,ATTRIBUTE NAMES,% DISTRIBUTION,expected_dist,upper,lower,real_dist,difference
3-TEETH,JRS TEETH 13 WHITE DIAMOND.png,DIAMOND TOOTH,0.2,9,9,8,10.0,0.09999999999999998
3-TEETH,JRS TEETH 14 GOLD.png,GOLD TEETH,0.1,4,4,3,6.0,0.33333333333333337
4-EYES,JRS EYES 1 BASE PURPLE.png,BASE PURPLE,10,484,498,469,484.0,0.0
4-EYES,JRS EYES 2 BASE BLUE.png,BASE BLUE,10,484,498,469,484.0,0.0
4-EYES,JRS EYES 3 BASE BROWN.png,BASE BROWN,10,484,498,469,484.0,0.0
4-EYES,JRS EYES 4 BASE GREEN.png,BASE GREEN,10,484,498,469,484.0,0.0
4-EYES,JRS EYES 5 BASE RED.png,BASE RED,10,484,498,469,484.0,0.0
4-EYES,JRS EYES 6 BASE GOLD.png,BASE GOLD,10,484,498,469,485.0,0.0020618556701030855
4-EYES,JRS EYES 7 SNAKE GREEN.png,SNAKE GREEN,6,290,298,281,290.0,0.0
4-EYES,JRS EYES 8 SNAKE RED.png,SNAKE RED,6,290,298,281,290.0,0.0
4-EYES,JRS EYES 9 SNAKE GOLD.png,SNAKE GOLD,6,290,298,281,290.0,0.0
4-EYES,JRS EYES 10 8 BALL.png,8 BALL,3,145,149,140,145.0,0.0
4-EYES,JRS EYES 11 JRS ICON.png,JRS ICON,3.1,150,154,145,150.0,0.0
4-EYES,JRS EYES 12 TARGET YELLOW.png,TARGET YELLOW,1.9,91,93,88,92.0,0.010869565217391353
4-EYES,JRS EYES 13 TARGET ORANGE.png,TARGET ORANGE,1.9,91,93,88,92.0,0.010869565217391353
4-EYES,JRS EYES 14 TARGET GREEN.png,TARGET GREEN,1.9,91,93,88,92.0,0.010869565217391353
4-EYES,JRS EYES 15 JRS COINS.png,JRS COIN,0.1,4,4,3,5.0,0.19999999999999996
4-EYES,JRS EYES 16 DIAMONDS BLUE.png,DIAMONDS BLUE,0.1,4,4,3,5.0,0.19999999999999996
4-EYES,JRS EYES 17 DIAMONDS RED.png,DIAMONDS RED,0.1,4,4,3,5.0,0.19999999999999996
4-EYES,JRS EYES 18 DIAMONDS PINK.png,DIAMONDS PINK,0.1,4,4,3,5.0,0.19999999999999996
5-BANDANAS,JRS BANDANA 1 WHITE FABRIC.png,FABRIC WHITE,4,193,198,187,194.0,0.005154639175257714
5-BANDANAS,JRS BANDANA 2 WHITE FABRIC JRS.png,FABRIC WHITE JRS,5,242,249,234,242.0,0.0
5-BANDANAS,JRS BANDANA 3 GREY FABRIC.png,FABRIC GREY,4,193,198,187,194.0,0.005154639175257714
5-BANDANAS,JRS BANDANA 4 BLACK FABRIC.png,FABRIC BLACK,4,193,198,187,193.0,0.0
5-BANDANAS,JRS BANDANA 5 BLACK FABRIC JRS.png,FABRIC BLACK JRS,5,242,249,234,242.0,0.0
5-BANDANAS,JRS BANDANA 6 RED FABRIC.png,FABRIC RED,3,145,149,140,145.0,0.0
5-BANDANAS,JRS BANDANA 7 PURPLE FABRIC.png,FABIRC PURPLE,3,145,149,140,145.0,0.0
5-BANDANAS,JRS BANDANA 8 ORANGE FABRIC.png,FABRIC ORANGE,3,145,149,140,145.0,0.0
